Parsing experiment parameters ...

Parsing successful. Running experiment ...

Training for 1500 episodes ...

episode: 0 	| explore_rate: 1.0 	| return: 16.389
episode: 1060 	| explore_rate: 0.15 	| return: 18.563
episode: 1070 	| explore_rate: 0.146 	| return: 17.178
episode: 1080 	| explore_rate: 0.142 	| return: 18.53
episode: 1090 	| explore_rate: 0.138 	| return: 18.646
episode: 1100 	| explore_rate: 0.134 	| return: 17.482
episode: 1110 	| explore_rate: 0.13 	| return: 18.53
episode: 1120 	| explore_rate: 0.126 	| return: 18.28
episode: 1130 	| explore_rate: 0.123 	| return: 18.196
episode: 1140 	| explore_rate: 0.119 	| return: 0.0
episode: 1150 	| explore_rate: 0.115 	| return: 18.196
episode: 1160 	| explore_rate: 0.111 	| return: 18.563
episode: 1170 	| explore_rate: 0.108 	| return: 18.446
episode: 1180 	| explore_rate: 0.104 	| return: 17.578
episode: 1190 	| explore_rate: 0.1 	| return: 18.446
episode: 1200 	| explore_rate: 0.097 	| return: 18.396
episode: 1210 	| explore_rate: 0.093 	| return: 18.563
episode: 1220 	| explore_rate: 0.089 	| return: 18.13
episode: 1230 	| explore_rate: 0.086 	| return: 18.53
episode: 1240 	| explore_rate: 0.082 	| return: 18.53
episode: 1250 	| explore_rate: 0.079 	| return: 18.563
episode: 1260 	| explore_rate: 0.075 	| return: 18.646
episode: 1270 	| explore_rate: 0.072 	| return: 17.785
episode: 1280 	| explore_rate: 0.069 	| return: 18.646
episode: 1290 	| explore_rate: 0.065 	| return: 18.48
episode: 1300 	| explore_rate: 0.062 	| return: 18.646
episode: 1310 	| explore_rate: 0.058 	| return: 18.28
episode: 1320 	| explore_rate: 0.055 	| return: 18.646
episode: 1330 	| explore_rate: 0.052 	| return: 18.646
episode: 1340 	| explore_rate: 0.049 	| return: 18.646
episode: 1350 	| explore_rate: 0.045 	| return: 18.646
episode: 1360 	| explore_rate: 0.042 	| return: 17.071
episode: 1370 	| explore_rate: 0.039 	| return: 18.646
episode: 1380 	| explore_rate: 0.036 	| return: 18.53
episode: 1390 	| explore_rate: 0.033 	| return: 18.646
episode: 1400 	| explore_rate: 0.03 	| return: 18.313
episode: 1410 	| explore_rate: 0.027 	| return: 18.646
episode: 1420 	| explore_rate: 0.023 	| return: 18.646
episode: 1430 	| explore_rate: 0.02 	| return: 18.528
episode: 1440 	| explore_rate: 0.017 	| return: 18.646
episode: 1450 	| explore_rate: 0.014 	| return: 18.446
episode: 1460 	| explore_rate: 0.011 	| return: 18.646
episode: 1470 	| explore_rate: 0.008 	| return: 18.646
episode: 1480 	| explore_rate: 0.006 	| return: 18.646
episode: 1490 	| explore_rate: 0.003 	| return: 18.646

Testing on agent with Q-table:
[[9.99992385e+00 9.68287308e+00 9.63630787e+00 9.62579313e+00
  9.57075286e+00]
 [4.93743886e-01 5.38529655e-01 6.17974176e-01 7.07667902e+00
  6.31754583e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 1.03864074e-01
  8.16491750e-03]
 ...
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00]]

Learned Q-learning policy tested

e_return	t5p_first	tTiny_first	total_drug_in

14.646359597980627	614.3890182726907	1228.524219828759	540.0
Done
