Parsing experiment parameters ...

Parsing successful. Running experiment ...

Training for 1500 episodes ...

episode: 0 	| explore_rate: 1.0 	| return: 16.397
episode: 910 	| explore_rate: 0.217 	| return: 17.92
episode: 920 	| explore_rate: 0.212 	| return: 17.037
episode: 930 	| explore_rate: 0.207 	| return: 17.523
episode: 940 	| explore_rate: 0.203 	| return: 17.92
episode: 950 	| explore_rate: 0.198 	| return: 16.675
episode: 960 	| explore_rate: 0.193 	| return: 0.0
episode: 970 	| explore_rate: 0.189 	| return: 17.823
episode: 980 	| explore_rate: 0.184 	| return: 18.117
episode: 990 	| explore_rate: 0.18 	| return: 17.925
episode: 1000 	| explore_rate: 0.176 	| return: 17.603
episode: 1010 	| explore_rate: 0.171 	| return: 17.995
episode: 1020 	| explore_rate: 0.167 	| return: 17.593
episode: 1030 	| explore_rate: 0.163 	| return: 18.075
episode: 1040 	| explore_rate: 0.159 	| return: 17.102
episode: 1050 	| explore_rate: 0.154 	| return: 18.119
episode: 1060 	| explore_rate: 0.15 	| return: 18.048
episode: 1070 	| explore_rate: 0.146 	| return: 17.976
episode: 1080 	| explore_rate: 0.142 	| return: 17.98
episode: 1090 	| explore_rate: 0.138 	| return: 17.872
episode: 1100 	| explore_rate: 0.134 	| return: 17.949
episode: 1110 	| explore_rate: 0.13 	| return: 18.031
episode: 1120 	| explore_rate: 0.126 	| return: 17.962
episode: 1130 	| explore_rate: 0.123 	| return: 17.849
episode: 1140 	| explore_rate: 0.119 	| return: 18.006
episode: 1150 	| explore_rate: 0.115 	| return: 17.925
episode: 1160 	| explore_rate: 0.111 	| return: 17.93
episode: 1170 	| explore_rate: 0.108 	| return: 16.517
episode: 1180 	| explore_rate: 0.104 	| return: 17.955
episode: 1190 	| explore_rate: 0.1 	| return: 18.11
episode: 1200 	| explore_rate: 0.097 	| return: 17.955
episode: 1210 	| explore_rate: 0.093 	| return: 17.447
episode: 1220 	| explore_rate: 0.089 	| return: 17.983
episode: 1230 	| explore_rate: 0.086 	| return: 17.763
episode: 1240 	| explore_rate: 0.082 	| return: 18.075
episode: 1250 	| explore_rate: 0.079 	| return: 18.062
episode: 1260 	| explore_rate: 0.075 	| return: 17.877
episode: 1270 	| explore_rate: 0.072 	| return: 16.564
episode: 1280 	| explore_rate: 0.069 	| return: 17.955
episode: 1290 	| explore_rate: 0.065 	| return: 17.955
episode: 1300 	| explore_rate: 0.062 	| return: 17.978
episode: 1310 	| explore_rate: 0.058 	| return: 17.53
episode: 1320 	| explore_rate: 0.055 	| return: 17.972
episode: 1330 	| explore_rate: 0.052 	| return: 17.955
episode: 1340 	| explore_rate: 0.049 	| return: 17.728
episode: 1350 	| explore_rate: 0.045 	| return: 17.922
episode: 1360 	| explore_rate: 0.042 	| return: 17.791
episode: 1370 	| explore_rate: 0.039 	| return: 17.955
episode: 1380 	| explore_rate: 0.036 	| return: 17.955
episode: 1390 	| explore_rate: 0.033 	| return: 17.955
episode: 1400 	| explore_rate: 0.03 	| return: 17.955
episode: 1410 	| explore_rate: 0.027 	| return: 17.955
episode: 1420 	| explore_rate: 0.023 	| return: 17.955
episode: 1430 	| explore_rate: 0.02 	| return: 17.955
episode: 1440 	| explore_rate: 0.017 	| return: 17.955
episode: 1450 	| explore_rate: 0.014 	| return: 17.955
episode: 1460 	| explore_rate: 0.011 	| return: 17.955
episode: 1470 	| explore_rate: 0.008 	| return: 17.955
episode: 1480 	| explore_rate: 0.006 	| return: 17.955
episode: 1490 	| explore_rate: 0.003 	| return: 17.955

Testing on agent with Q-table:
[[0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 ...
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]]

Learned Q-learning policy tested

e_return	t5p_first	tTiny_first	total_drug_in

14.311559723484839	483.11224222614186	N/A	783.0
Done
